"LibraryID","PreviousVersion","NewestVersion","AddedDeps","RemovedDeps","AddedDepsCount","RemovedDepsCount","Change","NetChange"
"activemq:activemq","3.2.2","3.2.3","[""concurrent:concurrent"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""junit:junit"",""log4j:log4j"",""geronimo-spec:geronimo-spec-j2ee-management"",""geronimo-spec:geronimo-spec-jta"",""commons-logging:commons-logging"",""geronimo-spec:geronimo-spec-jms""]","[]","8","0","Changed","8"
"activemq:activemq","3.2.3","3.2.4","[""org.apache.geronimo.specs:geronimo-j2ee-jacc_1.0_spec"",""org.apache.geronimo.specs:geronimo-jsp_2.0_spec"",""org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec"",""org.apache.geronimo.specs:geronimo-j2ee-connector_1.5_spec"",""org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec"",""org.apache.geronimo.specs:geronimo-jms_1.1_spec"",""org.apache.derby:derbynet"",""org.apache.geronimo.specs:geronimo-servlet_2.4_spec"",""org.apache.derby:derby""]","[""geronimo-spec:geronimo-spec-j2ee-jacc"",""incubator-derby:derby"",""geronimo-spec:geronimo-spec-j2ee-connector"",""geronimo-spec:geronimo-spec-j2ee-management"",""geronimo-spec:geronimo-spec-jta"",""geronimo-spec:geronimo-spec-jsp"",""geronimo-spec:geronimo-spec-jms"",""geronimo-spec:geronimo-spec-servlet"",""incubator-derby:derbynet""]","9","9","Changed","0"
"activemq:activemq-core","3.2.2","3.2.3","[""geronimo-spec:geronimo-spec-jta"",""junit:junit"",""log4j:log4j"",""concurrent:concurrent"",""geronimo-spec:geronimo-spec-j2ee-management"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""geronimo-spec:geronimo-spec-jms"",""commons-logging:commons-logging""]","[]","8","0","Changed","8"
"activemq:activemq-core","3.2.3","3.2.4","[""org.apache.geronimo.specs:geronimo-j2ee-jacc_1.0_spec"",""org.apache.derby:derby"",""org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec"",""org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec"",""org.apache.geronimo.specs:geronimo-jms_1.1_spec""]","[""geronimo-spec:geronimo-spec-jta"",""incubator-derby:derby"",""geronimo-spec:geronimo-spec-j2ee-management"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""geronimo-spec:geronimo-spec-jms""]","5","5","Changed","0"
"activemq:activemq-core","3.2.4","test-3.2.2","[]","[""jmock:jmock"",""commons-logging:commons-logging"",""howl:howl-logger"",""activemq:smack"",""activemq:smackx"",""commons-pool:commons-pool"",""concurrent:concurrent"",""org.apache.geronimo.specs:geronimo-j2ee-jacc_1.0_spec"",""junit:junit"",""commons-primitives:commons-primitives"",""org.apache.derby:derby"",""log4j:log4j"",""org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec"",""org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec"",""stax:stax"",""springframework:spring"",""org.apache.geronimo.specs:geronimo-jms_1.1_spec"",""hsqldb:hsqldb"",""xalan:xalan"",""stax:stax-api"",""cglib:cglib-full"",""activesoap:jaxp-api"",""activeio:activeio"",""xmlbeans:xbean_xpath"",""xmlbeans:xmlpublic"",""commons-collections:commons-collections"",""xmlbeans:xbean"",""commons-dbcp:commons-dbcp"",""axion:axion"",""regexp:regexp"",""jmock:jmock-cglib"",""activecluster:activecluster"",""javacc:javacc""]","0","33","Changed","-33"
"activemq:activemq-gbean","3.2.2","3.2.3","[""commons-logging:commons-logging"",""log4j:log4j"",""geronimo-spec:geronimo-spec-j2ee-management"",""junit:junit"",""geronimo-spec:geronimo-spec-jms"",""concurrent:concurrent"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""geronimo-spec:geronimo-spec-jta""]","[]","8","0","Changed","8"
"activemq:activemq-gbean","3.2.3","3.2.4","[""org.apache.geronimo.specs:geronimo-jms_1.1_spec"",""org.apache.geronimo.specs:geronimo-j2ee-jacc_1.0_spec"",""org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec"",""org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec""]","[""geronimo-spec:geronimo-spec-j2ee-management"",""geronimo-spec:geronimo-spec-jms"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""geronimo-spec:geronimo-spec-jta""]","4","4","Changed","0"
"activemq:activemq-gbean","3.2.4","g1_1-3.2.4","[""geronimo:geronimo-connector"",""activemq:activemq-gbean-management-g1_1""]","[""activemq:activemq-gbean-management""]","2","1","Changed","1"
"activemq:activemq-gbean-management","3.2.2","3.2.3","[""geronimo-spec:geronimo-spec-jta"",""junit:junit"",""geronimo-spec:geronimo-spec-jms"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""log4j:log4j"",""concurrent:concurrent"",""geronimo-spec:geronimo-spec-j2ee-management"",""commons-logging:commons-logging""]","[]","8","0","Changed","8"
"activemq:activemq-gbean-management","3.2.3","3.2.4","[""org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec"",""org.apache.geronimo.specs:geronimo-jms_1.1_spec"",""org.apache.geronimo.specs:geronimo-j2ee-jacc_1.0_spec"",""org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec""]","[""geronimo-spec:geronimo-spec-jta"",""geronimo-spec:geronimo-spec-jms"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""geronimo-spec:geronimo-spec-j2ee-management""]","4","4","Changed","0"
"activemq:activemq-gbean-management","3.2.4","g1_1-3.2.4","[]","[]","0","0","No Change","0"
"activemq:activemq-optional","3.2.2","3.2.3","[""junit:junit"",""log4j:log4j"",""geronimo-spec:geronimo-spec-jms"",""concurrent:concurrent"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""geronimo-spec:geronimo-spec-j2ee-management"",""geronimo-spec:geronimo-spec-jta"",""commons-logging:commons-logging""]","[]","8","0","Changed","8"
"activemq:activemq-optional","3.2.3","3.2.4","[""org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec"",""org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec"",""org.apache.geronimo.specs:geronimo-j2ee-jacc_1.0_spec"",""org.apache.geronimo.specs:geronimo-jms_1.1_spec"",""org.apache.geronimo.specs:geronimo-j2ee-connector_1.5_spec"",""org.apache.geronimo.specs:geronimo-servlet_2.4_spec""]","[""geronimo-spec:geronimo-spec-jms"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""geronimo-spec:geronimo-spec-j2ee-management"",""geronimo-spec:geronimo-spec-jta"",""geronimo-spec:geronimo-spec-j2ee-connector"",""geronimo-spec:geronimo-spec-servlet""]","6","6","Changed","0"
"activemq:activemq-ra","3.2.2","3.2.3","[""geronimo-spec:geronimo-spec-j2ee-management"",""geronimo-spec:geronimo-spec-jta"",""log4j:log4j"",""junit:junit"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""geronimo-spec:geronimo-spec-jms"",""concurrent:concurrent"",""commons-logging:commons-logging""]","[]","8","0","Changed","8"
"activemq:activemq-ra","3.2.3","3.2.4","[""org.apache.derby:derby"",""org.apache.geronimo.specs:geronimo-j2ee-jacc_1.0_spec"",""org.apache.geronimo.specs:geronimo-jms_1.1_spec"",""org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec"",""org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec"",""org.apache.geronimo.specs:geronimo-j2ee-connector_1.5_spec""]","[""geronimo-spec:geronimo-spec-j2ee-management"",""geronimo-spec:geronimo-spec-jta"",""incubator-derby:derby"",""geronimo-spec:geronimo-spec-j2ee-jacc"",""geronimo-spec:geronimo-spec-jms"",""geronimo-spec:geronimo-spec-j2ee-connector""]","6","6","Changed","0"
"activemq:activemq-web","3.2.2","3.2.3","[]","[]","0","0","No Change","0"
"activemq:activemq-web","3.2.3","3.2.4","[]","[]","0","0","No Change","0"
"args4j:args4j","2.0.2","2.0.3","[]","[]","0","0","No Change","0"
"args4j:args4j","2.0.3","2.0.4","[]","[]","0","0","No Change","0"
"args4j:args4j","2.0.4","2.0.5","[]","[]","0","0","No Change","0"
"args4j:args4j","2.0.5","2.0.6","[]","[]","0","0","No Change","0"
"args4j:args4j","2.0.6","2.0.7","[]","[]","0","0","No Change","0"
"args4j:args4j-tools","2.0.2","2.0.3","[]","[]","0","0","No Change","0"
